iter	Passed	Remaining
765	2177	665
766	2181	662
767	2183	659
768	2184	656
769	2185	652
770	2186	649
771	2188	646
772	2189	643
773	2191	639
774	2192	636
775	2194	633
776	2195	630
777	2197	626
778	2198	623
779	2199	620
780	2203	617
781	2205	614
782	2207	611
783	2208	608
784	2209	605
785	2211	601
786	2212	598
787	2213	595
788	2215	592
789	2216	589
790	2219	586
791	2220	583
792	2228	581
793	2229	578
794	2236	576
795	2238	573
796	2239	570
797	2240	567
798	2242	564
799	2243	560
800	2244	557
801	2246	554
802	2247	551
803	2251	548
804	2252	545
805	2254	542
806	2255	539
807	2256	536
808	2258	533
809	2259	529
810	2260	526
811	2263	523
812	2265	520
813	2266	517
814	2280	517
815	2282	514
816	2283	511
817	2285	508
818	2286	505
819	2287	502
820	2289	499
821	2290	495
822	2291	492
823	2293	489
824	2294	486
825	2298	484
826	2300	481
827	2301	478
828	2302	475
829	2304	471
830	2305	468
831	2306	465
832	2308	462
833	2309	459
834	2313	457
835	2314	454
836	2316	451
837	2317	448
838	2321	445
839	2322	442
840	2327	440
841	2329	437
842	2330	434
843	2332	431
844	2333	428
845	2334	424
846	2335	421
847	2337	418
848	2338	415
849	2339	412
850	2344	410
851	2346	407
852	2347	404
853	2349	401
854	2350	398
855	2352	395
856	2354	392
857	2355	389
858	2357	386
859	2358	383
860	2359	380
861	2361	378
862	2367	375
863	2368	372
864	2370	369
865	2372	367
866	2373	364
867	2375	361
868	2376	358
869	2377	355
870	2379	352
871	2380	349
872	2381	346
873	2383	343
874	2384	340
875	2386	337
876	2390	335
877	2392	332
878	2393	329
879	2395	326
880	2403	324
881	2404	321
882	2406	318
883	2407	315
884	2408	313
885	2413	310
886	2415	307
887	2416	304
888	2417	301
889	2419	299
890	2420	296
891	2422	293
892	2423	290
893	2424	287
894	2426	284
895	2427	281
896	2429	278
897	2432	276
898	2437	273
899	2438	270
900	2440	268
901	2441	265
902	2443	262
903	2444	259
904	2446	256
905	2447	253
906	2449	251
907	2450	248
908	2452	245
909	2453	242
910	2454	239
911	2459	237
912	2461	234
913	2463	231
914	2464	228
915	2465	226
916	2467	223
917	2473	220
918	2475	218
919	2476	215
920	2483	213
921	2485	210
922	2486	207
923	2488	204
924	2491	202
925	2494	199
926	2496	196
927	2497	193
928	2504	191
929	2507	188
930	2508	185
931	2510	183
932	2512	180
933	2513	177
934	2515	174
935	2516	172
936	2518	169
937	2520	166
938	2521	163
939	2523	161
940	2525	158
941	2526	155
942	2527	152
943	2530	150
944	2532	147
945	2534	144
946	2535	141
947	2536	139
948	2538	136
949	2539	133
950	2541	130
951	2545	128
952	2547	125
953	2548	122
954	2551	120
955	2558	117
956	2560	115
957	2561	112
958	2562	109
959	2564	106
960	2568	104
961	2571	101
962	2572	98
963	2574	96
964	2575	93
965	2576	90
966	2578	87
967	2579	85
968	2581	82
969	2582	79
970	2583	77
971	2585	74
972	2586	71
973	2598	69
974	2600	66
975	2602	63
976	2603	61
977	2604	58
978	2607	55
979	2608	53
980	2610	50
981	2611	47
982	2613	45
983	2615	42
984	2616	39
985	2618	37
986	2619	34
987	2622	31
988	2623	29
